name,Latitude,Longitude
Shin-Matsudo Post Office,35.82738,139.91564
緑郵便局,35.55898,140.17581
Imai Post Office,35.58269,140.12628
中央豊海郵便局,35.65405,139.77033
,35.55255,140.18602
,35.55363,140.19049
市津郵便局,35.51521,140.17641
柴崎駅前郵便局,35.65368,139.56665
,35.63205,139.34678
越谷せんげん台郵便局,35.93494,139.76916
調布郵便局,35.65304,139.55831
狛江郵便局,35.64178,139.57497
杉並西永福郵便局,35.68000,139.63554
北加瀬郵便局,35.55472,139.66134
二子玉川郵便局 (Futakotamagawa Post Office),35.61593,139.62539
松戸栄郵便局,35.80753,139.90642
東京芝浦郵便局,35.64345,139.74688
調布駅前郵便局,35.65438,139.54338
小石川郵便局,35.71355,139.74210
厚木旭郵便局,35.43914,139.36699
杉並和泉二郵便局,35.67457,139.65148
早稲田大学前,35.70822,139.72193
調布仙川郵便局,35.66159,139.58622
成城郵便局,35.64815,139.59332
横浜山下町郵便局,35.44261,139.64777
厚木郵便局,35.43882,139.35775
川崎生田郵便局,35.61510,139.52749
千歳船橋駅前郵便局,35.64864,139.62410
世田谷八幡山郵便局,35.66101,139.62036
町田西郵便局,35.59995,139.36066
海老名中新田郵便局,35.43833,139.38428
杉並永福郵便局,35.67467,139.64301
世田谷北烏山郵便局,35.67688,139.59899
杉並浜田山郵便局,35.68472,139.62660
世田谷北烏山八郵便局,35.67629,139.59190
杉並西荻窪北郵便局,35.70810,139.59316
吉祥寺南町郵便局,35.70295,139.58858
常盤平駅前郵便局,35.80454,139.95080
三鷹郵便局 (Mitaka Post Office),35.68346,139.56049
成城学園前郵便局,35.64090,139.59970
川崎三田郵便局,35.61120,139.54389
登戸駅前郵便局,35.62003,139.56857
三鷹台郵便局,35.69044,139.58713
松戸東口郵便局,35.78566,139.90255
中野南台郵便局,35.68267,139.66459
座間郵便局,35.50986,139.41670
柿生郵便局,35.58943,139.49805
世田谷上祖師谷二郵便局,35.65762,139.59942
世田谷北沢郵便局,35.66426,139.66548
狛江岩戸南郵便局,35.62902,139.58497
祖師ヶ谷大蔵駅前郵便局,35.64319,139.60695
世田谷桜丘二郵便局,35.64410,139.62605
渋谷神南郵便局,35.66199,139.70057
座間駅前郵便局,35.47865,139.40252
川崎栗平郵便局,35.60719,139.48083
渋谷上原郵便局,35.66969,139.68239
松戸北郵便局,35.81861,139.94430
百合ヶ丘駅前郵便局,35.60752,139.51528
恵比寿郵便局,35.64568,139.71670
目黒駒場郵便局,35.65776,139.68647
千代田岩本町郵便局,35.69386,139.77719
三鷹中原四郵便局,35.66504,139.56872
調布仙川二郵便局,35.66428,139.58318
白子南郵便局,35.77343,139.62211
世田谷梅丘郵便局,35.65151,139.65770
三鷹深大寺郵便局,35.69022,139.53817
調布染地郵便局,35.64048,139.55989
中野中央一郵便局,35.70127,139.68322
豊島郵便局,35.72934,139.72147
北柏駅前郵便局,35.87514,139.98770
小平天神郵便局,35.72786,139.49242
小平花小金井第五郵便局,35.73584,139.50633
品川二葉郵便局,35.60497,139.72563
品川区役所前郵便局,35.60789,139.72957
飯田橋郵便局,35.69913,139.74368
葛飾郵便局,35.73595,139.83972
川越郵便局,35.92174,139.48589
葛飾四つ木局,35.73634,139.83305
渋谷三郵便局,35.65604,139.70458
上小田中郵便局 (Kami-kodanaka Post Office),35.58020,139.64256
調布西つつじヶ丘局,35.65890,139.57009
恵比寿駅前郵便局,35.64640,139.70810
相模原磯部郵便局,35.50595,139.38441
世田谷桜丘五郵便局,35.64328,139.61943
厚木東町郵便局,35.44339,139.36979
宮内郵便局,35.58981,139.63959
井田郵便局 (Ida Post Office),35.56517,139.64426
経堂駅前郵便局,35.65215,139.63756
杉並和泉郵便局,35.67561,139.65810
松戸根本郵便局,35.78976,139.90190
松戸駅西口郵便局,35.78321,139.89930
市川国府台郵便局,35.75052,139.90276
原町田六郵便局,35.54487,139.44719
調布金子郵便局,35.65258,139.57670
府中栄町郵便局,35.68702,139.47955
三郷さつき郵便局,35.85280,139.86605
尻手駅前郵便局,35.53072,139.68209
横浜美しが丘郵便局,35.58103,139.55834
川崎港郵便局,35.51201,139.72050
阿佐谷南三郵便局,35.70342,139.62759
横浜太尾郵便局,35.52630,139.62068
横浜元宮郵便局,35.52231,139.68275
立川錦郵便局,35.69615,139.42062
仲町台駅前局,35.53692,139.58992
町田高ヶ坂郵便局,35.54405,139.45858
川崎白山郵便局,35.59137,139.51092
松戸日暮郵便局,35.79044,139.94113
国分寺西町,35.70883,139.43443
川崎宿河原郵便局,35.61504,139.57899
国分寺泉郵便局,35.69541,139.46469
麻生郵便局 (Asao Post Office),35.60550,139.50134
世田谷桜上水一郵便局,35.65610,139.62937
目黒鷹番郵便局,35.62646,139.68645
世田谷四郵便局,35.64516,139.65110
吉祥寺東町郵便局,35.70698,139.58770
吉祥寺本町郵便局,35.70846,139.57625
保谷駅前郵便局,35.74953,139.56673
昭島駅前郵便局,35.71448,139.36148
中神駅前郵便局,35.70866,139.37563
昭島玉川郵便局,35.70393,139.38146
昭島郵便局,35.71375,139.35545
昭島中神郵便局,35.71041,139.37947
世田谷北沢三郵便局,35.66700,139.67284
新大久保駅前郵便局,35.70087,139.69998
新宿大久保郵便局,35.70198,139.70624
高田馬場第二郵便局,35.71305,139.70734
川崎菅生郵便局,35.59567,139.55542
高田馬場郵便局,35.71300,139.70125
,35.67336,139.76753
,35.64766,139.74939
練馬南大泉五郵便局,35.75038,139.57347
中目黒駅前郵便局,35.64221,139.69743
相模原大野台七郵便局,35.55062,139.41397
相模原郵便局 (Sagamihara Post Office),35.57133,139.37478
稲城長沼郵便局,35.64584,139.50193
世界貿易センター内郵便局,35.65615,139.75671
,35.53007,140.26932
川崎鷺沼郵便局,35.58049,139.57239
大和下鶴間郵便局,35.49407,139.46011
向島郵便局,35.71962,139.81722
,35.72709,139.71325
,35.73160,139.71804
中十条郵便局,35.76209,139.72606
府中浅間郵便局,35.68423,139.49922
日本郵便　東京多摩支店,35.65528,139.46236
馬橋郵便局,35.81193,139.91945
稲城若葉台郵便局,35.61989,139.47209
横浜妙蓮寺郵便局,35.50055,139.63323
松戸八が崎郵便局,35.81214,139.92940
玉川学園前郵便局,35.56269,139.46000
桶川西一郵便局,36.00492,139.56084
渋谷東二郵便局,35.65395,139.70829
南麻布二郵便局,35.64903,139.73731
横浜篠原台郵便局,35.49108,139.62828
瀬谷郵便局,35.46607,139.48430
松戸二十世紀が丘郵便局,35.76864,139.90699
港北郵便局 (Kouhoku Post Office ),35.51483,139.63256
芝公園郵便局,35.65731,139.75178
さいたま中央郵便局,35.84649,139.64977
さいたま新都心合同庁舎内郵便局,35.89217,139.63330
ふじみ野駅西口郵便局,35.85784,139.51967
みさと団地内郵便局,35.85658,139.86109
アーバンみらい東大宮内郵便局,35.95449,139.66909
七里郵便局,35.93282,139.67151
三芳みよし台郵便局,35.83316,139.54514
三芳北永井郵便局,35.82985,139.51962
三郷天王橋通郵便局,35.80589,139.86963
三郷彦成郵便局,35.83555,139.84623
三郷高州郵便局,35.79220,139.88431
上尾上町郵便局,35.98147,139.58799
上尾二ツ宮郵便局,35.98147,139.60199
上尾井戸木郵便局,35.98975,139.56011
上尾原市団地内郵便局,35.96617,139.62832
上尾宮本町郵便局,35.97558,139.59199
上尾小敷谷南郵便局,35.95573,139.56099
上尾尾山台郵便局,35.95887,139.64012
上尾平方郵便局,35.94452,139.54960
上尾愛宕郵便局,35.96681,139.59819
上尾柏座郵便局,35.96917,139.58102
上尾浅間台郵便局,35.98075,139.56714
上尾白小鳩郵便局,35.99798,139.57569
上尾郵便局,35.97083,139.58994
上戸田郵便局,35.81600,139.67521
上福岡北口郵便局,35.87529,139.51456
上福岡松山郵便局,35.87340,139.52684
上福岡武蔵野郵便局,35.86540,139.51053
上福岡郵便局,35.87999,139.52145
上福岡駅前郵便局,35.87267,139.51048
上福岡駒林郵便局,35.86719,139.51967
与野ハウス内郵便局,35.88952,139.62971
与野上落合郵便局,35.89910,139.62506
与野円阿弥郵便局,35.88749,139.61027
与野大戸郵便局,35.86635,139.63755
与野本町郵便局,35.88260,139.62261
与野郵便局,35.88376,139.62722
与野鈴谷郵便局,35.87013,139.62941
久喜東町郵便局,36.05930,139.68201
伊奈小室郵便局,35.99067,139.63563
入間上藤沢郵便局,35.82304,139.39925
入間扇町屋郵便局,35.82769,139.38230
入間新久郵便局,35.82373,139.36392
入間郵便局,35.83157,139.38915
入間黒須郵便局,35.84604,139.38382
八潮中央二郵便局,35.82022,139.83906
八潮中馬場郵便局,35.81711,139.82773
八潮八條郵便局,35.83654,139.83623
八潮古新田郵便局,35.79880,139.85387
八潮木曽根郵便局,35.82186,139.85125
八潮柳之宮郵便局,35.82715,139.82349
北本栄郵便局,36.01578,139.53222
北本西高尾郵便局,36.03063,139.52080
北本駅西口郵便局,36.03224,139.53166
北浦和二郵便局,35.87823,139.64450
北越谷駅前郵便局,35.90054,139.77781
北越谷駅東口郵便局,35.90232,139.78168
南浦和団地内郵便局,35.84573,139.67536
南越谷郵便局,35.87735,139.79431
原市郵便局,35.96897,139.62130
吉川団地前郵便局,35.89027,139.84506
吉川郵便局,35.88188,139.84572
吉川駅前郵便局,35.87302,139.84400
吉見郵便局,36.03571,139.45270
名細郵便局,35.92828,139.44390
和光白子南郵便局,35.77333,139.62211
和光白子郵便局,35.78078,139.62297
土呂西口郵便局,35.93157,139.62894
坂戸仲町郵便局,35.96250,139.39665
坂戸石井郵便局,35.97236,139.41590
坂戸若葉駅前郵便局,35.95011,139.40992
埼玉医科大学内簡易郵便局,35.93933,139.30603
大井亀久保郵便局,35.85802,139.50857
大井東台郵便局,35.85093,139.52673
大井緑ヶ丘郵便局,35.85782,139.49762
大和田駅前郵便局,35.92954,139.64957
大宮プラザ郵便局,35.90684,139.57851
大宮三橋四郵便局,35.89638,139.60304
大宮上小町郵便局,35.90249,139.61364
大宮加茂宮郵便局,35.93661,139.61951
大宮南中野郵便局,35.90930,139.65540
大宮卸町簡易郵便局,35.94727,139.67400
大宮吉野町郵便局,35.95304,139.60745
大宮堀崎郵便局,35.93841,139.65591
大宮大成郵便局,35.91235,139.61549
大宮天沼郵便局,35.90554,139.63841
大宮奈良郵便局,35.95353,139.59703
大宮宮原郵便局,35.94288,139.61043
大宮日進三郵便局,35.93730,139.60255
大宮本郷郵便局,35.94405,139.62722
大宮桜木町郵便局,35.90791,139.61903
大宮植竹郵便局,35.92720,139.62177
大宮清河寺郵便局,35.93370,139.58401
大宮西郵便局,35.92179,139.60874
大宮郵便局,35.92009,139.62356
大宮風渡野郵便局,35.93847,139.66685
大宮高島屋郵便局,35.90627,139.62592
大山郵便局,36.03770,139.60689
大東文化大内簡易郵便局,36.00133,139.36676
安行郵便局,35.85480,139.75507
宝珠花郵便局,36.02900,139.81281
宮代姫宮郵便局,36.00461,139.74112
富士見勝瀬郵便局,35.86461,139.53521
富士見南畑郵便局,35.85979,139.56003
富士見水子郵便局,35.84044,139.55767
富士見羽沢郵便局,35.85699,139.53922
富士見鶴瀬東郵便局,35.84843,139.54075
岩槻上野郵便局,35.96748,139.70362
岩槻仲町郵便局,35.94556,139.70440
岩槻和土郵便局,35.91414,139.72255
岩槻本丸郵便局,35.95570,139.70410
嵐山郵便局,36.04371,139.32319
川口並木郵便局,35.81775,139.70452
川口仁志郵便局,35.81293,139.70235
川口仲町郵便局,35.80783,139.70943
川口元郷一郵便局,35.80104,139.73103
川口元郷六郵便局,35.80256,139.74382
川口元郷郵便局,35.79486,139.72988
川口前川一郵便局,35.83215,139.70836
川口前川郵便局,35.84035,139.71077
川口北郵便局,35.84794,139.69718
川口寿町郵便局,35.79778,139.71916
川口峯郵便局,35.83105,139.77271
川口市役所前郵便局,35.80700,139.72460
川口幸町郵便局,35.80849,139.71955
川口戸塚五郵便局,35.86627,139.74979
川口新郷郵便局,35.82453,139.76079
川口朝日二郵便局,35.81336,139.73518
川口朝日郵便局,35.80705,139.73854
川口木曽呂郵便局,35.86048,139.72610
川口柳崎郵便局,35.85480,139.70288
川口根岸郵便局,35.84064,139.71668
川口榛松郵便局,35.82053,139.76862
川口石神郵便局,35.86135,139.73665
川口芝下郵便局,35.83901,139.70120
川口芝中田郵便局,35.83042,139.69644
川口芝園郵便局,35.83133,139.68346
川口青木五郵便局,35.81811,139.71638
川口青木郵便局,35.81347,139.71202
川口飯塚郵便局,35.80114,139.71105
川口駅西口郵便局,35.80228,139.71482
川島三保谷郵便局,35.97797,139.49081
川田谷郵便局,35.99152,139.53200
川越グリーンパーク郵便局,35.91651,139.53466
川越今泉郵便局,35.89518,139.52434
川越伊勢原郵便局,35.92145,139.42758
川越六軒町郵便局,35.91549,139.47713
川越大東郵便局,35.88598,139.44009
川越宮元郵便局,35.93321,139.48453
川越寿町郵便局,35.90384,139.46574
川越川鶴郵便局,35.92343,139.41133
川越新宿郵便局,35.89943,139.48176
川越新富町郵便局,35.91539,139.48419
川越月吉郵便局,35.92129,139.47192
川越松江町郵便局,35.91840,139.48552
川越清水郵便局,35.87740,139.50578
川越霞ヶ関北郵便局,35.92587,139.43576
川通郵便局,35.93237,139.73690
幸手団地内郵便局,36.05683,139.72001
庄和米島郵便局,35.97862,139.81025
庄和西金野井郵便局,35.98545,139.80672
庄和郵便局,35.99253,139.79950
志木宗岡郵便局,35.83858,139.58742
志木郵便局,35.82607,139.57568
志木駅前郵便局,35.82091,139.57642
慈恩寺郵便局,35.98125,139.70895
戸田公園駅前郵便局,35.80686,139.67838
戸田喜沢郵便局,35.80761,139.69643
戸田新曽南郵便局,35.81066,139.66738
戸田新曽郵便局,35.81661,139.66069
戸田笹目郵便局,35.81391,139.65351
戸田美女木郵便局,35.82813,139.64027
所沢けやき台郵便局,35.79888,139.45529
所沢三ヶ島郵便局,35.79291,139.40041
所沢上安松郵便局,35.78925,139.48679
所沢下富郵便局,35.82899,139.46595
所沢中富郵便局,35.81147,139.49620
所沢中新井郵便局,35.81479,139.47576
所沢久米郵便局,35.78255,139.45998
所沢北野郵便局,35.79065,139.43269
所沢山口郵便局,35.77797,139.43257
所沢東住吉郵便局,35.78447,139.47215
所沢椿峰郵便局,35.78609,139.43897
所沢緑町郵便局,35.80549,139.44640
所沢美原郵便局,35.81241,139.45734
所沢若狭郵便局,35.80649,139.41493
所沢西郵便局,35.80169,139.42096
所沢駅東口郵便局,35.78697,139.47723
指扇駅前郵便局,35.91604,139.56467
新座団地内郵便局,35.81680,139.55653
新座栗原郵便局,35.75770,139.54953
新座片山郵便局,35.77105,139.56511
新座石神郵便局,35.76769,139.55256
新座郵便局,35.79863,139.56811
新座馬場郵便局,35.78283,139.57367
新狭山二郵便局,35.87665,139.43212
日高郵便局,35.89800,139.34427
春日部一ノ割郵便局,35.96364,139.76581
春日部仲町郵便局,35.98228,139.75465
春日部大沼郵便局,35.96928,139.75281
春日部小渕郵便局,35.99731,139.75402
春日部武里団地内郵便局,35.94359,139.76903
春日部牛島郵便局,35.98067,139.77681
春日部緑町郵便局,35.97253,139.76817
春日部藤塚郵便局,35.96723,139.77989
春日部豊春郵便局,35.96728,139.72898
春日部豊町郵便局,35.97114,139.74276
春日部豊野簡易郵便局,35.95609,139.79212
朝霞三原郵便局,35.81633,139.58114
朝霞宮戸郵便局,35.82363,139.58703
朝霞本町郵便局,35.80040,139.59817
朝霞根岸郵便局,35.80839,139.60733
朝霞溝沼郵便局,35.80875,139.58719
朝霞郵便局,35.79607,139.59507
杉戸高野台郵便局,36.05099,139.71387
東京電機大学内簡易郵便局,35.98658,139.37160
東吉見郵便局,36.02210,139.47206
東大宮西口郵便局,35.94905,139.63645
東岩槻郵便局,35.96231,139.71334
東所沢郵便局,35.79400,139.51598
東越谷郵便局,35.89610,139.80223
柳瀬川駅前郵便局,35.83011,139.56172
桶川坂田郵便局,36.01744,139.57697
桶川日出谷郵便局,35.99961,139.55344
桶川神明郵便局,35.99461,139.56994
桶川西一郵便局,36.00489,139.56087
植水郵便局,35.89797,139.59122
毛呂山長瀬郵便局,35.94277,139.32598
水富郵便局,35.85737,139.38373
江面郵便局,36.04711,139.63671
浦和三室郵便局,35.88245,139.67789
浦和上木崎郵便局,35.88626,139.64554
浦和中尾郵便局,35.87342,139.68508
浦和仲町郵便局,35.85980,139.64060
浦和別所郵便局,35.85037,139.64566
浦和原山郵便局,35.86855,139.66822
浦和大谷口郵便局,35.86048,139.68744
浦和大間木郵便局,35.87352,139.69813
浦和太田窪郵便局,35.85488,139.67965
浦和宮前郵便局,35.86487,139.70210
浦和岸町郵便局,35.85222,139.65583
浦和常盤十郵便局,35.87141,139.63952
浦和常盤郵便局,35.86517,139.64872
浦和曲本郵便局,35.83770,139.63929
浦和本太郵便局,35.86309,139.65834
浦和東高砂郵便局,35.85761,139.66085
浦和栄和郵便局,35.86271,139.61794
浦和田島郵便局,35.84173,139.63012
浦和白鍬郵便局,35.88197,139.60393
浦和神明郵便局,35.84871,139.66122
浦和神田郵便局,35.87458,139.61082
浦和西堀郵便局,35.85352,139.62824
浦和領家郵便局,35.87993,139.65408
浦和鹿手袋郵便局,35.85477,139.63897
狭山入曾郵便局,35.83068,139.43104
狭山入間川三郵便局,35.85818,139.40786
狭山北入曽郵便局,35.84015,139.42971
狭山旭郵便局,35.86285,139.41548
狭山柏原郵便局,35.87598,139.40804
狭山水野郵便局,35.82199,139.41926
石戸郵便局,36.01841,139.51633
笠原郵便局,36.06348,139.54729
美園郵便局,35.88400,139.73073
草加八幡郵便局,35.84923,139.81064
草加新栄郵便局,35.86306,139.76765
草加松原西郵便局,35.84297,139.78986
草加柳島郵便局,35.81692,139.78654
草加谷塚西郵便局,35.81603,139.79709
草加青柳郵便局,35.85624,139.81695
蓮田椿山郵便局,35.99320,139.65896
蓮田郵便局,35.98592,139.64985
蓮田閏戸郵便局,36.01441,139.63677
蕨錦町郵便局,35.83047,139.66955
蕨駅前郵便局,35.82813,139.68710
西上尾郵便局,35.96459,139.56304
西吉見郵便局,36.05145,139.43446
西大和郵便局,35.77900,139.60809
西武入間ぺぺ内郵便局,35.84113,139.38896
西武郵便局,35.84399,139.35374
谷塚郵便局,35.81486,139.80337
越谷千間台東郵便局,35.93470,139.78053
越谷千間台西郵便局,35.93501,139.76926
越谷大里郵便局,35.92203,139.78410
越谷大間野郵便局,35.86485,139.78690
越谷宮前郵便局,35.90188,139.79692
越谷平方郵便局,35.94392,139.78034
越谷弥栄郵便局,35.91951,139.79731
越谷瓦曽根郵便局,35.88835,139.79117
越谷登戸郵便局,35.87044,139.79598
越谷蒲生三郵便局,35.86605,139.80251
越谷西方郵便局,35.88850,139.80540
越谷赤山郵便局,35.88785,139.78179
都幾川桃木簡易郵便局,36.00171,139.27311
金子郵便局,35.81617,139.33328
飯能下畑郵便局,35.83579,139.29652
飯能八幡郵便局,35.85484,139.31741
高麗川郵便局,35.89506,139.33674
高麗武蔵台郵便局,35.88002,139.30286
高麗郵便局,35.88609,139.31674
鳩ヶ谷三ツ和郵便局,35.82654,139.73968
鳩ヶ谷南二郵便局,35.81755,139.74421
鳩ヶ谷本町郵便局,35.83402,139.74146
鳩ヶ谷桜町郵便局,35.83947,139.73924
鳩ヶ谷辻郵便局,35.82363,139.72885
鳩ヶ谷郵便局,35.83369,139.73507
鳩ヶ谷里郵便局,35.83435,139.72902
鳩山郵便局,35.97024,139.34163
鴻巣人形町郵便局,36.04891,139.52169
鴻巣大間郵便局,36.06293,139.50494
鴻巣本町郵便局,36.05960,139.51175
鴻巣郵便局,36.06416,139.51636
鶴ヶ島郵便局,35.93781,139.38784
鶴ヶ島鶴ヶ丘郵便局,35.93344,139.41677
さいたま中央郵便局,35.84649,139.64977
さいたま新都心合同庁舎内郵便局,35.89217,139.63330
さいたま新都心郵便局,35.88888,139.63571
ふじみ野駅西口郵便局,35.85784,139.51967
アーバンみらい東大宮内郵便局,35.95449,139.66909
七里郵便局,35.93282,139.67151
三芳みよし台郵便局,35.83316,139.54514
三芳北永井郵便局,35.82985,139.51962
三郷一郵便局,35.84176,139.88543
三郷丹後郵便局,35.85604,139.88666
三郷彦成郵便局,35.83555,139.84623
三郷戸ヶ崎郵便局,35.80230,139.86021
上尾上町郵便局,35.98147,139.58799
上尾原市団地内郵便局,35.96617,139.62832
上尾尾山台郵便局,35.95887,139.64012
上尾愛宕郵便局,35.96681,139.59819
上尾柏座郵便局,35.96917,139.58102
上尾白小鳩郵便局,35.99798,139.57569
上尾郵便局,35.97083,139.58994
上福岡北口郵便局,35.87529,139.51456
上福岡松山郵便局,35.87340,139.52684
上福岡武蔵野郵便局,35.86540,139.51053
上福岡駅前郵便局,35.87267,139.51048
上福岡駒林郵便局,35.86719,139.51967
与野大戸郵便局,35.86635,139.63755
与野郵便局,35.88376,139.62722
与野鈴谷郵便局,35.87013,139.62941
与野駅前郵便局,35.88433,139.63696
中草加郵便局,35.82500,139.80705
久喜東町郵便局,36.05930,139.68201
伊奈寿郵便局,36.00472,139.60346
入間下藤沢郵便局,35.82205,139.40946
入間仏子郵便局,35.83960,139.35821
八潮古新田郵便局,35.79880,139.85387
北吉見郵便局,36.06129,139.45914
北本東間郵便局,36.03383,139.53380
北本栄郵便局,36.01578,139.53222
北本西高尾郵便局,36.03063,139.52080
北本郵便局,36.02388,139.53569
北本駅西口郵便局,36.03224,139.53166
北浦和二郵便局,35.87823,139.64450
北浦和駅前郵便局,35.87079,139.64812
南浦和団地内郵便局,35.84573,139.67536
南越谷郵便局,35.87735,139.79431
原市郵便局,35.96897,139.62130
司法研修所内郵便局,35.77333,139.60058
吉川平沼郵便局,35.88720,139.85704
吉見郵便局,36.03571,139.45270
名細郵便局,35.92828,139.44390
和光新倉郵便局,35.79596,139.62450
和光白子南郵便局,35.77333,139.62211
和光白子郵便局,35.78078,139.62297
和光郵便局,35.78633,139.61011
唐子郵便局,36.02779,139.36388
土呂西口郵便局,35.93157,139.62894
坂戸森戸郵便局,35.93608,139.36217
坂戸郵便局,35.95898,139.40528
坂戸駅前郵便局,35.95558,139.39315
埼玉県庁内郵便局,35.85801,139.64819
大井亀久保郵便局,35.85802,139.50857
大井東台郵便局,35.85093,139.52673
大井緑ヶ丘郵便局,35.85782,139.49762
大和田駅前郵便局,35.92954,139.64957
大宮プラザ郵便局,35.90684,139.57851
大宮三橋四郵便局,35.89638,139.60304
大宮上小町郵便局,35.90249,139.61364
大宮区役所内郵便局,35.90624,139.62861
大宮南中野郵便局,35.90930,139.65540
大宮卸町簡易郵便局,35.94727,139.67400
大宮吉野町郵便局,35.95304,139.60745
大宮大成郵便局,35.91235,139.61549
大宮大谷郵便局,35.92502,139.67578
大宮奈良郵便局,35.95353,139.59703
大宮宮原郵便局,35.94288,139.61043
大宮日進三郵便局,35.93730,139.60255
大宮日進郵便局,35.92974,139.60493
大宮本郷郵便局,35.94405,139.62722
大宮桜木町郵便局,35.90791,139.61903
大宮植竹郵便局,35.92720,139.62177
大宮浅間郵便局,35.90201,139.63164
大宮清河寺郵便局,35.93370,139.58401
大宮片柳郵便局,35.90959,139.66728
大宮盆栽町郵便局,35.92507,139.63370
大宮西郵便局,35.92179,139.60874
大宮郵便局,35.92009,139.62356
大宮風渡野郵便局,35.93847,139.66685
大宮高島屋郵便局,35.90627,139.62592
大宮高鼻郵便局,35.91045,139.63022
安行郵便局,35.85480,139.75507
宝珠花郵便局,36.02900,139.81281
宮代姫宮郵便局,36.00461,139.74112
宮寺郵便局,35.79295,139.38198
富士見勝瀬郵便局,35.86461,139.53521
富士見南畑郵便局,35.85979,139.56003
富士見水子郵便局,35.84044,139.55767
富士見水谷東郵便局,35.83884,139.57365
富士見羽沢郵便局,35.85699,139.53922
富士見鶴瀬東郵便局,35.84843,139.54075
富士見鶴瀬西郵便局,35.84313,139.52933
小川郵便局,36.05086,139.25863
小手指駅前郵便局,35.79997,139.43760
岩槻上野郵便局,35.96748,139.70362
岩槻仲町郵便局,35.94556,139.70440
岩槻本丸郵便局,35.95570,139.70410
岩槻西原郵便局,35.96166,139.68715
岩槻西町郵便局,35.95139,139.69137
嵐山志賀郵便局,36.05171,139.32852
川口並木郵便局,35.81775,139.70452
川口仲町郵便局,35.80783,139.70943
川口元郷六郵便局,35.80256,139.74382
川口元郷郵便局,35.79486,139.72988
川口前川郵便局,35.84035,139.71077
川口北原台郵便局,35.86964,139.73011
川口北郵便局,35.84794,139.69718
川口寿町郵便局,35.79778,139.71916
川口峯郵便局,35.83105,139.77271
川口市役所前郵便局,35.80700,139.72460
川口幸町郵便局,35.80849,139.71955
川口戸塚五郵便局,35.86627,139.74979
川口朝日二郵便局,35.81336,139.73518
川口朝日郵便局,35.80705,139.73854
川口木曽呂郵便局,35.86046,139.72611
川口根岸郵便局,35.84064,139.71668
川口榛松郵便局,35.82053,139.76862
川口石神郵便局,35.86135,139.73665
川口芝下郵便局,35.83901,139.70120
川口芝園郵便局,35.83133,139.68346
